signal,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
ifr_level_gt5.0,long_momentum,240,147,1870614,-6.274089581013754,-29.32631564222444,44.61725370648054,-0.06942963869984582,-26.274089581013754
ifr_mom15_lt5.0,short,240,147,5283436,-6.341308960252109,7.02614003780129,50.95943033517474,-0.010857340898375215,-26.341308960252107
ifr_level_gt10.0_fade,short_contrarian,15,145,875707,-10.711208371005881,3.0007807766865673,51.08409670553667,-0.01149575102046802,-30.71120837100588
ifr_level_gt10.0_fade,short_contrarian,60,145,875707,-13.349960731315182,10.353288162479258,53.07208150570149,-0.0009685470116825641,-33.34996073131518
ifr_level_gt10.0_fade,short_contrarian,30,145,875707,-13.538368864132748,6.823599307855071,52.74314770741677,-0.0021829775797861254,-33.53836886413275
fr_diverge_z1.5,short,240,145,498725,-14.107536819939105,22.140202570709942,50.918253044124384,-0.050947564974356846,-34.1075368199391
ifr_level_gt10.0_fade,short_contrarian,240,145,875707,-26.849551619756916,16.901620007124418,53.9354818204831,0.01506644162624079,-46.849551619756916
fr_diverge_z2.0,short,240,145,276644,-28.96967954998629,20.214425327608087,48.27311304786567,-0.10864055295091452,-48.96967954998629
ifr_level_gt20.0_fade,short_contrarian,5,112,235651,-32.98177364041889,1.02472399906846,50.96909397940565,-0.04326597118624816,-52.98177364041889
fr_diverge_z3.0,short,240,144,109245,-37.298155921450125,11.473569376967136,45.739862704662755,-0.022338704025752002,-57.298155921450125
ifr_level_gt20.0_fade,short_contrarian,15,112,235651,-105.21719036323013,-26.120331377157562,50.03211392637487,-0.0930285704474025,-125.21719036323013
ifr_level_gt20.0_fade,short_contrarian,60,112,235651,-133.21287009893172,-11.008438903622466,50.80899270456769,-0.06518483182492002,-153.21287009893172
ifr_level_gt20.0_fade,short_contrarian,30,112,235651,-138.2591605543625,-16.387349495515544,51.522955195446805,-0.06252839181732416,-158.2591605543625
ifr_level_gt20.0_fade,short_contrarian,240,112,235651,-228.0749122649561,-33.87277111041565,51.28302123750276,-0.08301847906867772,-248.0749122649561
