symbol,gross_bps,sig_str,hold,entry_time,exit_time,exit_reason,net_tk,net_mk,month,sig_bucket
CHZUSDT,47.90992933285221,5.484442864828185,3,2025-12-31 06:50:00,2025-12-31 07:05:00,cross,27.909929332852208,39.90992933285221,2025-12,5-7
CRVUSDT,10163.867267513313,11.00235874466995,6,2025-10-10 21:15:00,2025-10-10 21:45:00,reversal,10143.867267513313,10155.867267513313,2025-10,7+
CYBERUSDT,-2911.491551974936,6.129470405849917,15,2025-08-12 07:30:00,2025-08-12 08:45:00,cross,-2931.491551974936,-2919.491551974936,2025-08,5-7
CYBERUSDT,4694.6564885496155,4.128759786397942,24,2025-10-10 21:20:00,2025-10-10 23:20:00,maxhold,4674.6564885496155,4686.6564885496155,2025-10,4-5
DYDXUSDT,25485.1157662624,7.567793236182485,20,2025-10-10 21:20:00,2025-10-10 23:00:00,cross,25465.1157662624,25477.1157662624,2025-10,7+
DOGEUSDT,40.16895809176635,5.945544822862762,4,2025-07-18 05:05:00,2025-07-18 05:25:00,cross,20.16895809176635,32.16895809176635,2025-07,5-7
DOGEUSDT,-6.304216259833684,4.293237347859041,12,2025-08-03 14:00:00,2025-08-03 15:00:00,cross,-26.304216259833684,-14.304216259833684,2025-08,4-5
DOGEUSDT,391.7758000044169,4.175131109156286,24,2025-08-22 14:20:00,2025-08-22 16:20:00,maxhold,371.7758000044169,383.7758000044169,2025-08,4-5
DOGEUSDT,90.54960169637471,4.1774292644262285,7,2025-09-17 17:55:00,2025-09-17 18:30:00,cross,70.54960169637471,82.54960169637471,2025-09,4-5
DOGEUSDT,-2361.272930802093,4.283714249336498,6,2025-10-10 20:55:00,2025-10-10 21:25:00,reversal,-2381.272930802093,-2369.272930802093,2025-10,4-5
DOGEUSDT,360.1342318500533,5.291478335590727,16,2025-10-10 21:50:00,2025-10-10 23:10:00,cross,340.1342318500533,352.1342318500533,2025-10,5-7
DOGEUSDT,-74.26743630280397,4.154245463705508,5,2026-01-02 15:35:00,2026-01-02 16:00:00,cross,-94.26743630280397,-82.26743630280397,2026-01,4-5
DOGEUSDT,64.44896138020128,6.00876812726429,4,2026-01-31 18:40:00,2026-01-31 19:00:00,cross,44.44896138020128,56.44896138020128,2026-01,5-7
DOTUSDT,5992.274101444404,9.540329556869832,3,2025-10-10 21:15:00,2025-10-10 21:30:00,cross,5972.274101444404,5984.274101444404,2025-10,7+
